x,y,class,unit_time,sequence_time,_id
17.345356,-11.152059,1,1524272400.0,1524272400.0,60949.0
30.2588,35.32743,1,1529593200.0,1529593200.0,94943.0
12.792377,-16.4625,1,1542247200.0,1542247200.0,175788.0
25.14321,11.178803,1,1526410800.0,1526410800.0,74611.0
24.951092,29.068872,1,1530136800.0,1530136800.0,98416.0
5.859081,25.317678,1,1545440400.0,1545440400.0,196189.0
27.652647,36.20032,1,1530529200.0,1530529200.0,100923.0
12.261909,-6.338816,1,1520996400.0,1520996400.0,40019.0
-14.736564,-1.1115807,1,1523710800.0,1523710800.0,57361.0
-6.5951257,-11.828468,1,1518915600.0,1518915600.0,26725.0
10.866198,-16.65039,1,1542258000.0,1542258000.0,175857.0
33.780533,38.074482,1,1529344800.0,1529344800.0,93356.0
1.0456996,-11.721342,1,1521496800.0,1521496800.0,43216.0
5.709384,-14.190584,1,1542344400.0,1542344400.0,176409.0
-27.37829,-0.8198939,1,1515128400.0,1515128400.0,2529.0
2.8003445,21.990162,1,1538035200.0,1538035200.0,148878.0
-3.1148987,3.707655,1,1542052800.0,1542052800.0,174546.0
26.23696,21.334126,1,1527418800.0,1527418800.0,81051.0
13.536506,7.6460204,1,1537905600.0,1537905600.0,148050.0
27.439514,8.927997,1,1525114800.0,1525114800.0,66331.0
4.658324,1.3907893,1,1529035200.0,1529035200.0,91378.0
-28.470778,12.645973,1,1517734800.0,1517734800.0,19181.0
25.061928,9.527457,1,1523469600.0,1523469600.0,55820.0
10.908854,0.6766608,1,1529193600.0,1529193600.0,92390.0
12.00976,-0.77972895,1,1522483200.0,1522483200.0,49518.0
-13.011117,28.88656,1,1540594800.0,1540594800.0,165231.0
4.3443594,32.329914,1,1535223600.0,1535223600.0,130915.0
16.285795,2.5189106,1,1523350800.0,1523350800.0,55061.0
5.1427984,-14.466362,1,1542348000.0,1542348000.0,176432.0
-11.488826,10.256602,1,1541660400.0,1541660400.0,172039.0
13.28662,16.855705,1,1527109200.0,1527109200.0,79073.0
38.103035,18.251207,1,1535558400.0,1535558400.0,133054.0
-3.0968163,15.911611,1,1538082000.0,1538082000.0,149177.0
28.177553,12.800893,1,1520107200.0,1520107200.0,34338.0
-23.466646,-27.08248,1,1541505600.0,1541505600.0,171050.0
5.920057,-14.970089,1,1542340800.0,1542340800.0,176386.0
-10.113898,26.202457,1,1538262000.0,1538262000.0,150327.0
-13.850399,15.411793,1,1538233200.0,1538233200.0,150143.0
-11.469347,7.832376,1,1540580400.0,1540580400.0,165139.0
-20.608215,1.2647904,1,1519520400.0,1519520400.0,30589.0
29.235111,36.986385,1,1530630000.0,1530630000.0,101567.0
-13.749797,17.924494,1,1538658000.0,1538658000.0,152857.0
-3.667762,10.303844,1,1536440400.0,1536440400.0,138689.0
22.955425,13.503556,1,1533495600.0,1533495600.0,119875.0
-2.114158,33.319447,1,1536966000.0,1536966000.0,142047.0
-22.361767,27.991777,1,1521597600.0,1521597600.0,43860.0
17.8181,27.342793,1,1519030800.0,1519030800.0,27461.0
35.340294,-15.268204,1,1540209600.0,1540209600.0,162770.0
4.6022058,17.506006,1,1536307200.0,1536307200.0,137838.0
20.783653,13.26619,1,1532466000.0,1532466000.0,113297.0
3.826498,14.472138,1,1542772800.0,1542772800.0,179146.0
32.270836,23.211065,1,1526137200.0,1526137200.0,72863.0
16.515932,-4.510999,1,1520913600.0,1520913600.0,39490.0
-7.336508,4.67428,1,1536595200.0,1536595200.0,139678.0
-29.13753,-30.427504,1,1520622000.0,1520622000.0,37627.0
-30.33212,12.726047,1,1517702400.0,1517702400.0,18974.0
5.472908,33.36623,1,1535209200.0,1535209200.0,130823.0
9.617881,-25.494173,1,1525831200.0,1525831200.0,70908.0
39.12363,16.818892,1,1535641200.0,1535641200.0,133583.0
4.6353436,1.4116566,1,1529031600.0,1529031600.0,91355.0
9.190968,35.187725,1,1535032800.0,1535032800.0,129696.0
30.054615,8.365817,1,1526076000.0,1526076000.0,72472.0
8.515747,-26.019682,1,1525845600.0,1525845600.0,71000.0
-26.7213,18.110765,1,1517846400.0,1517846400.0,19894.0
-2.270448,33.783344,1,1536969600.0,1536969600.0,142070.0
2.1211345,-34.183525,1,1515351600.0,1515351600.0,3955.0
23.485016,17.58875,1,1533434400.0,1533434400.0,119484.0
19.861547,7.654152,1,1522828800.0,1522828800.0,51726.0
26.278156,36.139603,1,1530511200.0,1530511200.0,100808.0
-6.451265,24.677153,1,1538179200.0,1538179200.0,149798.0
-9.455882,19.03154,1,1538204400.0,1538204400.0,149959.0
-0.82320815,3.0642574,1,1528578000.0,1528578000.0,88457.0
21.933323,-27.812151,1,1542009600.0,1542009600.0,174270.0
28.144869,14.747664,1,1523689200.0,1523689200.0,57223.0
24.864494,-15.079095,1,1519862400.0,1519862400.0,32774.0
15.952521,2.9835777,1,1523343600.0,1523343600.0,55015.0
29.552086,4.319192,1,1526058000.0,1526058000.0,72357.0
36.114132,-4.9287786,1,1535259600.0,1535259600.0,131145.0
-2.8344524,14.024915,1,1540242000.0,1540242000.0,162977.0
-19.166851,3.9500005,1,1544932800.0,1544932800.0,192946.0
8.150621,-0.0963678,1,1537848000.0,1537848000.0,147682.0
-31.295504,-0.65979785,1,1515106800.0,1515106800.0,2391.0
-20.43185,-6.181236,1,1517288400.0,1517288400.0,16329.0
26.359997,14.785357,1,1537516800.0,1537516800.0,145566.0
17.973011,9.157284,1,1522720800.0,1522720800.0,51036.0
